"amount","denom","address"
"20_000","gm","penumbrav0t1lvuh7w9judw4wgdjkqmt7jc9crtsssz9phz7e2cxcdeeqeulcz8pzegnkkc2hen8l9nslvqrp2x5vhuvxtd8vyt22lm7g566nveg2y4zzve2vk25jgs29pqtpmguef"
"20_000","gn","penumbrav0t1lvuh7w9judw4wgdjkqmt7jc9crtsssz9phz7e2cxcdeeqeulcz8pzegnkkc2hen8l9nslvqrp2x5vhuvxtd8vyt22lm7g566nveg2y4zzve2vk25jgs29pqtpmguef"
"10_000","pizza","penumbrav0t1lvuh7w9judw4wgdjkqmt7jc9crtsssz9phz7e2cxcdeeqeulcz8pzegnkkc2hen8l9nslvqrp2x5vhuvxtd8vyt22lm7g566nveg2y4zzve2vk25jgs29pqtpmguef"
"100","cube","penumbrav0t1lvuh7w9judw4wgdjkqmt7jc9crtsssz9phz7e2cxcdeeqeulcz8pzegnkkc2hen8l9nslvqrp2x5vhuvxtd8vyt22lm7g566nveg2y4zzve2vk25jgs29pqtpmguef"
"1_000_000__000_000","upenumbra","penumbrav0t1hqllugj25ql7efk4pxmglj8ywax9n94p3vlh0kxwanyrepcnsvkurgmc3q3ejnjdtg2qq6xj8txcwdlvyspzwysyu33f9s5qzysc6sv4wyf4fj6drze9ltcfw6cpws"
"20_000","gm","penumbrav0t1hqllugj25ql7efk4pxmglj8ywax9n94p3vlh0kxwanyrepcnsvkurgmc3q3ejnjdtg2qq6xj8txcwdlvyspzwysyu33f9s5qzysc6sv4wyf4fj6drze9ltcfw6cpws"
"20_000","gn","penumbrav0t1hqllugj25ql7efk4pxmglj8ywax9n94p3vlh0kxwanyrepcnsvkurgmc3q3ejnjdtg2qq6xj8txcwdlvyspzwysyu33f9s5qzysc6sv4wyf4fj6drze9ltcfw6cpws"
"10_000","pizza","penumbrav0t1hqllugj25ql7efk4pxmglj8ywax9n94p3vlh0kxwanyrepcnsvkurgmc3q3ejnjdtg2qq6xj8txcwdlvyspzwysyu33f9s5qzysc6sv4wyf4fj6drze9ltcfw6cpws"
"100","cube","penumbrav0t1hqllugj25ql7efk4pxmglj8ywax9n94p3vlh0kxwanyrepcnsvkurgmc3q3ejnjdtg2qq6xj8txcwdlvyspzwysyu33f9s5qzysc6sv4wyf4fj6drze9ltcfw6cpws"
"1_000_000__000_000","upenumbra","penumbrav0t1jwjg4yjw7mhcz73mu6yxr3wf6ez6r8pftpfxvr5f5datns4wcqpyl3ls8qw8jzdf4tuqgl46kwqean77lr9f2k599f09fjxv4qgyfczghwgzy05es0zke2cvgkwc45"
"20_000","gm","penumbrav0t1jwjg4yjw7mhcz73mu6yxr3wf6ez6r8pftpfxvr5f5datns4wcqpyl3ls8qw8jzdf4tuqgl46kwqean77lr9f2k599f09fjxv4qgyfczghwgzy05es0zke2cvgkwc45"
"20_000","gn","penumbrav0t1jwjg4yjw7mhcz73mu6yxr3wf6ez6r8pftpfxvr5f5datns4wcqpyl3ls8qw8jzdf4tuqgl46kwqean77lr9f2k599f09fjxv4qgyfczghwgzy05es0zke2cvgkwc45"
"10_000","pizza","penumbrav0t1jwjg4yjw7mhcz73mu6yxr3wf6ez6r8pftpfxvr5f5datns4wcqpyl3ls8qw8jzdf4tuqgl46kwqean77lr9f2k599f09fjxv4qgyfczghwgzy05es0zke2cvgkwc45"
"100","cube","penumbrav0t1jwjg4yjw7mhcz73mu6yxr3wf6ez6r8pftpfxvr5f5datns4wcqpyl3ls8qw8jzdf4tuqgl46kwqean77lr9f2k599f09fjxv4qgyfczghwgzy05es0zke2cvgkwc45"
"1_000_000__000_000","upenumbra","penumbrav0t1penemf3ucamcxtuf6wlxg62fxyqgr4axhzzzx9q7rflcvh4q6ltrurun602r6yw4c5ss4cknpu2k7smuujymq4vvwrf9mt2mgrc36zvwvhk9tkvxlrqtc8cf4racc5"
"20_000","gm","penumbrav0t1penemf3ucamcxtuf6wlxg62fxyqgr4axhzzzx9q7rflcvh4q6ltrurun602r6yw4c5ss4cknpu2k7smuujymq4vvwrf9mt2mgrc36zvwvhk9tkvxlrqtc8cf4racc5"
"20_000","gn","penumbrav0t1penemf3ucamcxtuf6wlxg62fxyqgr4axhzzzx9q7rflcvh4q6ltrurun602r6yw4c5ss4cknpu2k7smuujymq4vvwrf9mt2mgrc36zvwvhk9tkvxlrqtc8cf4racc5"
"10_000","pizza","penumbrav0t1penemf3ucamcxtuf6wlxg62fxyqgr4axhzzzx9q7rflcvh4q6ltrurun602r6yw4c5ss4cknpu2k7smuujymq4vvwrf9mt2mgrc36zvwvhk9tkvxlrqtc8cf4racc5"
"100","cube","penumbrav0t1penemf3ucamcxtuf6wlxg62fxyqgr4axhzzzx9q7rflcvh4q6ltrurun602r6yw4c5ss4cknpu2k7smuujymq4vvwrf9mt2mgrc36zvwvhk9tkvxlrqtc8cf4racc5"
"5_000","nala","penumbrav0t14k6uhn8pnuvm869h3kgfywk03cn8nxv4fgu2ehdjdrgk2277lgsp7qrzduzyka2v3pfsy8py259ge9eq36nq8czsjgjsm5rv28s9mq54z3yw3veyz52lt0qsfp29w3"
